Scheme Code,Scheme Name,CAGR_3Y,Sharpe_Ratio,Alpha,Expense_Ratio,Maximum_Drawdown,CAGR_Rank,Sharpe_Rank,Alpha_Rank,Expense_Rank,Drawdown_Rank,CAGR_Score,Sharpe_Score,Alpha_Score,Expense_Score,Drawdown_Score,Fund_Score,Overall_Rank
100470,Franklin India Large Cap Fund - IDCW,0.37,-0.03636240111731845,-0.1062,0.58,-65.93,33.0,32.0,36.0,49.0,18.0,86.72199170124482,87.13692946058092,85.47717842323651,80.08298755186722,92.9460580912863,86.2,26
100471,Franklin India Large Cap Fund-Growth,10.09,0.06246285608103844,-0.0029,1.59,-55.23,18.0,13.0,21.0,150.0,3.0,92.9460580912863,95.0207468879668,91.70124481327801,38.17427385892116,99.1701244813278,85.62,27
101762,HDFC Flexi Cap Fund - Growth Plan,16.64,0.09294555114527381,0.0916,2.44,-59.92,4.0,4.0,1.0,235.0,8.0,98.7551867219917,98.7551867219917,100.0,2.904564315352697,97.0954356846473,84.46,28
100218,JM Large Cap Fund (Regular) - IDCW ,10.76,inf,0.0122,1.93,-100.0,16.0,1.0,17.0,184.0,32.0,93.7759336099585,100.0,93.3609958506224,24.066390041493776,87.13692946058092,84.13,29
100332,LIC MF Large Cap Fund-Regular Plan-IDCW,7.4,inf,-0.0233,1.79,-100.0,22.0,1.0,27.0,170.0,32.0,91.28630705394191,100.0,89.21161825726142,29.87551867219917,87.13692946058092,83.42,30
100519,Franklin India Flexi Cap Fund - IDCW ,6.9,-0.013114993126948991,-0.0349,1.49,-67.63,25.0,24.0,28.0,140.0,24.0,90.04149377593362,90.45643153526972,88.79668049792531,42.32365145228216,90.45643153526972,82.78,31
100219,JM Large Cap Fund (Regular) - Growth Option,10.76,0.03036501444914244,0.0122,1.85,-71.81,16.0,20.0,17.0,176.0,30.0,93.7759336099585,92.11618257261411,93.3609958506224,27.385892116182575,87.96680497925311,82.74,32
100630,quant Multi Cap Fund-IDCW Option - Regular Plan,11.26,0.03668774992195652,0.014,1.96,-73.0,14.0,19.0,16.0,187.0,31.0,94.6058091286307,92.5311203319502,93.7759336099585,22.821576763485478,87.55186721991701,82.45,33
101636,DSP Large Cap Fund - Regular Plan - IDCW,2.98,-0.04535957160620051,-0.0686,1.38,-62.49,31.0,33.0,32.0,129.0,15.0,87.55186721991701,86.72199170124482,87.13692946058092,46.88796680497925,94.1908713692946,81.83,34
100476,Taurus Flexi Cap Fund - Regular Plan - Growth ,11.87,inf,0.0197,2.5,-100.0,12.0,1.0,12.0,241.0,32.0,95.4356846473029,100.0,95.4356846473029,0.4149377593360996,87.13692946058092,81.49,35
101593,HSBC Large Cap Fund - Regular IDCW,0.81,-0.02441809995073689,-0.0746,1.76,-66.19,32.0,30.0,33.0,167.0,19.0,87.13692946058092,87.96680497925311,86.72199170124482,31.12033195020747,92.5311203319502,79.4,36
101163,NIPPON INDIA MULTI CAP FUND - IDCW Option,7.0,0.026114905901769958,0.0572,2.49,-67.53,24.0,21.0,6.0,240.0,23.0,90.45643153526972,91.70124481327801,97.9253112033195,0.8298755186721992,90.87136929460581,78.86,37
100378,Nippon India Vision Large & Midcap Fund - IDCW Option,6.84,-0.022645228720338112,0.008,2.21,-69.83,26.0,29.0,19.0,212.0,27.0,89.62655601659752,88.38174273858921,92.5311203319502,12.448132780082988,89.21161825726142,78.28,38
